SampleName	HET	HOM	Farm	Strain	Stage	Sex
CHLY2F490815Cyclone	31325	18281	CH	LY	Stage2	F
CHLY2F491631Cyclone	33801	18543	CH	LY	Stage2	F
CHLY2F491835Cyclone	32609	18162	CH	LY	Stage2	F
CHLY2F492651Cyclone	35260	17815	CH	LY	Stage2	F
CHLY2F492855Cyclone	35400	17534	CH	LY	Stage2	F
CHLY2M385917Cyclone	32687	19304	CH	LY	Stage2	M
CHLY2F493263Cyclone	34879	17661	CH	LY	Stage2	F
CHLY2F493671Cyclone	34867	17667	CH	LY	Stage2	F
CHLY2M385101Cyclone	34293	18260	CH	LY	Stage2	M
CHLY2M387345Cyclone	33486	18502	CH	LY	Stage2	M
CHLY2F492039Cyclone	34967	18044	CH	LY	Stage2	F
CHLY2F494079Cyclone	35843	17996	CH	LY	Stage2	F
CHLY2F494487Cyclone	35386	17830	CH	LY	Stage2	F
CHLY2M385713Cyclone	34903	18303	CH	LY	Stage2	M
CHLY2M386529Cyclone	36621	17548	CH	LY	Stage2	M
CHLY2F493875Cyclone	35810	17011	CH	LY	Stage2	F
CHLY2M387549Cyclone	36435	18024	CH	LY	Stage2	M
CHLY2M385509Cyclone	36068	18598	CH	LY	Stage2	M
CHLY2M386121Cyclone	35097	18159	CH	LY	Stage2	M
CHLY2M387957Cyclone	34418	18322	CH	LY	Stage2	M
CHLY2M387753Cyclone	36325	17678	CH	LY	Stage2	M
CHLY2M388977Cyclone	36583	18362	CH	LY	Stage2	M
CHLY2M489793Cyclone	33406	18189	CH	LY	Stage2	M
CHLY2M388161Cyclone	35570	17352	CH	LY	Stage2	M
CHLY2M388569Cyclone	34201	18370	CH	LY	Stage2	M
CHLY2M388365Cyclone	31294	18999	CH	LY	Stage2	M
CHLY2M490917Cyclone	36021	17549	CH	LY	Stage2	M
CHLY2M492345Cyclone	33104	18452	CH	LY	Stage2	M
CHLY2M490101Cyclone	36297	17645	CH	LY	Stage2	M
CHLY2M491325Cyclone	38706	18371	CH	LY	Stage2	M
CHLY2M489997Cyclone	34612	18639	CH	LY	Stage2	M
CHYL1F177447Cyclone	35321	17803	CH	YL	Stage1	F
CHLY2M492141Cyclone	34667	18193	CH	LY	Stage2	M
CHLY2M490509Cyclone	31696	18904	CH	LY	Stage2	M
CHLY2M491733Cyclone	34879	18297	CH	LY	Stage2	M
CHYL1F176019Cyclone	33902	18422	CH	YL	Stage1	F
CHLY2M493365Cyclone	35012	18804	CH	LY	Stage2	M
CHLY2M491937Cyclone	36268	17561	CH	LY	Stage2	M
CHYL1F178467Cyclone	37411	18019	CH	YL	Stage1	F
CHYL1F175815Cyclone	34462	17842	CH	YL	Stage1	F
CHYL1F179283Cyclone	36030	17804	CH	YL	Stage1	F
CHYL1F283263Cyclone	35235	17933	CH	YL	Stage1	F
CHYL1F282855Cyclone	35788	18224	CH	YL	Stage1	F
CHYL1F280815Cyclone	35741	17702	CH	YL	Stage1	F
CHYL1F179691Cyclone	35195	18298	CH	YL	Stage1	F
CHYL1F283467Cyclone	35473	18040	CH	YL	Stage1	F
CHYL1F281427Cyclone	35332	17809	CH	YL	Stage1	F
CHYL1M176937Cyclone	34631	18339	CH	YL	Stage1	M
CHYL1M176325Cyclone	33492	18529	CH	YL	Stage1	M
CHYL1M176121Cyclone	34498	18335	CH	YL	Stage1	M
CHYL1M175101Cyclone	32965	18753	CH	YL	Stage1	M
CHYL1M281733Cyclone	34466	18220	CH	YL	Stage1	M
CHYL1M282753Cyclone	33477	18166	CH	YL	Stage1	M
CHYL1M283569Cyclone	35558	18282	CH	YL	Stage1	M
CHYL2F387243Cyclone	35180	18620	CH	YL	Stage2	F
CHYL1M280305Cyclone	35124	17914	CH	YL	Stage1	M
CHYL1M177141Cyclone	34841	17854	CH	YL	Stage1	M
CHYL1M178161Cyclone	35192	18303	CH	YL	Stage1	M
CHYL2F489691Cyclone	38078	18155	CH	YL	Stage2	F
CHYL2F490099Cyclone	33927	18585	CH	YL	Stage2	F
CHYL2F491019Cyclone	35783	18093	CH	YL	Stage2	F
CHYL2M389181Cyclone	33883	17890	CH	YL	Stage2	M
CHYL2F493059Cyclone	35528	17801	CH	YL	Stage2	F
CHYL2M385305Cyclone	33347	18887	CH	YL	Stage2	M
CHYL2M388773Cyclone	33517	18633	CH	YL	Stage2	M
CHYL2M386733Cyclone	40166	18715	CH	YL	Stage2	M
CHYL2M491121Cyclone	37023	18807	CH	YL	Stage2	M
CHYL2F493467Cyclone	33938	18112	CH	YL	Stage2	F
CHYL2M492549Cyclone	33654	17913	CH	YL	Stage2	M
CHYL2M386937Cyclone	33754	18497	CH	YL	Stage2	M
CHYL2M492753Cyclone	34764	18524	CH	YL	Stage2	M
CHYL2M490305Cyclone	34917	18015	CH	YL	Stage2	M
CHYL2M492957Cyclone	31441	19226	CH	YL	Stage2	M
CHYL2M494997Cyclone	34558	18338	CH	YL	Stage2	M
HMLY1F354793Cyclone	35975	17930	HM	LY	Stage1	F
HMLY1F354997Cyclone	35912	17456	HM	LY	Stage1	F
HMLY1F355917Cyclone	34781	17817	HM	LY	Stage1	F
HMLY1F354385Cyclone	35411	18100	HM	LY	Stage1	F
HMLY1F355101Cyclone	36343	17855	HM	LY	Stage1	F
HMLY1F357141Cyclone	35244	17626	HM	LY	Stage1	F
HMLY1F356325Cyclone	35369	18591	HM	LY	Stage1	F
HMLY1F357549Cyclone	37519	18544	HM	LY	Stage1	F
HMLY1M355203Cyclone	34228	18454	HM	LY	Stage1	M
HMLY1M356835Cyclone	34263	18483	HM	LY	Stage1	M
HMLY1M356427Cyclone	35563	18325	HM	LY	Stage1	M
HMLY1M354283Cyclone	34608	18140	HM	LY	Stage1	M
HMLY1M356019Cyclone	34680	18580	HM	LY	Stage1	M
HMLY2F358569Cyclone	34472	17667	HM	LY	Stage2	F
HMLY2F460305Cyclone	36221	17621	HM	LY	Stage2	F
HMLY2F459385Cyclone	36595	17490	HM	LY	Stage2	F
HMLY2M458671Cyclone	35386	17910	HM	LY	Stage2	M
HMLY2F460509Cyclone	39172	17407	HM	LY	Stage2	F
HMLY1M357039Cyclone	35512	18233	HM	LY	Stage1	M
HMLY2F460917Cyclone	36113	18017	HM	LY	Stage2	F
HMLY2M459487Cyclone	34518	17988	HM	LY	Stage2	M
HMLY2M460611Cyclone	36215	17996	HM	LY	Stage2	M
HMLY2M461835Cyclone	35736	17872	HM	LY	Stage2	M
HMLY2M460407Cyclone	34490	18516	HM	LY	Stage2	M
HMLY2M461427Cyclone	36033	15962	HM	LY	Stage2	M
HMLY3F251530Cyclone	31733	18533	HM	LY	Stage3	F
HMLY3F151223Cyclone	33628	17992	HM	LY	Stage3	F
HMLY3F252039Cyclone	35281	18173	HM	LY	Stage3	F
HMLY3F253263Cyclone	34443	17950	HM	LY	Stage3	F
